PSAL,Site_name,Smithsonian,Local_ID,Owner,Country,State,County,Processed,Notes,Lat,Lon
24,Witt,,1,Nyers,USA,CA,Kings,Processed,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",36.07852,-119.80337
25,Witt,,2,Nyers,USA,CA,Kings,Processed,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",36.07852,-119.80337
26,Witt,,3,Nyers,USA,CA,Kings,Processed,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",36.07852,-119.80337
27,Witt,,4,Nyers,USA,CA,Kings,Processed,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",36.07852,-119.80337
28,Witt,,5,Nyers,USA,CA,Kings,Processed,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",36.07852,-119.80337
29,Witt,,6,Nyers,USA,CA,Kings,Processed,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",36.07852,-119.80337
30,Witt,,82-A801-7,Nyers,USA,CA,Kings,Processed,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",36.07852,-119.80337
31,Witt,,9412.60,Nyers,USA,CA,Kings,Processed,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",36.07852,-119.80337
32,Witt,,D2154,Nyers,USA,CA,Kings,Processed,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",36.07852,-119.80337
33,Witt,,D4103,Nyers,USA,CA,Kings,Processed,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",36.07852,-119.80337
34,Witt,,D4109,Nyers,USA,CA,Kings,Processed,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",36.07852,-119.80337
35,Witt,,D41013,Nyers,USA,CA,Kings,Processed,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",36.07852,-119.80337
36,Witt,,D41041,Nyers,USA,CA,Kings,Processed,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",36.07852,-119.80337
194,,,,Nyers,,,,Free to use,,,
274,Cooper's Ferry PFP1,10IH73,73-24940,Nyers,USA,ID,Idaho,Processed,Cooper's Ferry Pit Feature P1,45.83513,-115.46639
275,Cooper's Ferry PFP1,10IH73,73-24941,Nyers,USA,ID,Idaho,Processed,Cooper's Ferry Pit Feature P1,45.83513,-115.46639
276,Cooper's Ferry PFP1,10IH73,73-24942,Nyers,USA,ID,Idaho,Processed,Cooper's Ferry Pit Feature P1,45.83513,-115.46639
