"gsid","Owner","PSAL_Catalog","Type_2D_3D","Processed","Process_date","Site_ID","Local_ID","Age_Period_ID","Weight","Material_ID","PPTP","Archie_ID","Proprietary","Experimental","Notes","Flag","Biface"
1,"Nyers",1,"2.5D","Processed",6/19/2021 8:40:49,76,"76-48",1,0.60000,,1,,,0,"10IH396",0,1
2,,2,,"empty",,,"Unknown",,,,2,,,0,,0,0
3,"Nyers",3,"2.5D","Processed",6/19/2021 8:49:24,32,"L5-555",1,5.60000,,3,,,0,"Nipeheme Village",0,1
4,"Nyers",4,"2.5D","Processed",6/19/2021 8:50:48,29,"01-10",1,2.20000,,4,,,1,"McCulley Creek",0,1
5,"Nyers",5,"2.5D","Processed",6/19/2021 8:57:13,70,"95-8",2,1.30000,,5,,,0,"10IH1286  (scan problems on right side)",0,1
6,"Nyers",6,"2.5D","Processed",6/19/2021 8:58:41,32,"l10 173",4,16.20000,,6,,,0,"Nipeheme Village",0,1
7,"Nyers",7,"2.5D","Processed",6/19/2021 9:00:06,32,"t3 l6 215",1,2.80000,,7,,,0,"Nipeheme Village",0,1
8,"Nyers",8,,"empty",,,"Unknown",,,,8,,,0,,0,0
9,"Nyers",9,,"empty",,,"Unknown",,,,9,,,0,,0,0
11,"Nyers",11,,"empty",,,"Unknown",,,,11,,,0,,0,0
12,"Nyers",12,,"empty",,,"Unknown",,,,12,,,0,,0,0
13,"Nyers",13,,"empty",,,"Unknown",,,,13,,,0,,0,0
14,"Nyers",14,,"empty",,,"Unknown",,,,14,,,0,,0,0
15,"Nyers",15,,"empty",,,"Unknown",,,,15,,,0,,0,0
16,"Nyers",16,,"empty",,,"Unknown",,,,16,,,0,,0,0
17,"Nyers",17,,"empty",,,"Unknown",,,,17,,,0,,0,0
18,"Nyers",18,,"empty",,,"Unknown",,,,18,,,0,,0,0
19,"Nyers",19,,"empty",,,"Unknown",,,,19,,,0,,0,0
20,"Nyers",20,"2.5D","Processed",6/19/2021 9:03:13,16,"01-07",3,3.00000,,20,,,0,"Gill Gulch",0,1
21,"Nyers",21,,"empty",,,"Unknown",,,,21,,,0,,0,0
22,"Nyers",22,,"empty",,,"Unknown",,,,22,,,0,,0,0
23,"Nyers",23,"2.5D","Processed",6/19/2021 9:04:39,82,"1 ?",1,2.70000,,23,,,0,"10NP300",0,1
24,"Nyers",24,"3D","Processed",4/1/2022 17:59:16,300,"1",,,,24,,"No",0,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",0,1
25,"Nyers",25,"3D","Processed",4/1/2022 12:47:00,300,"2",,,,25,,"No",0,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",0,1
26,"Nyers",26,"3D","Processed",4/1/2022 18:25:02,300,"3",,,,,,"No",0,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",0,1
27,"Nyers",27,"3D","Processed",4/1/2022 13:13:08,300,"4",,,,,,"No",0,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",0,1
28,"Nyers",28,"3D","Processed",4/1/2022 18:50:32,300,"5",,,,,,"No",0,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",0,1
29,"Nyers",29,"3D","Processed",4/1/2022 19:14:43,300,"6",,,,,,"No",0,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",0,1
30,"Nyers",30,"3D","Processed",4/2/2022 10:21:36,300,"82-A801-7",,,,,,"No",0,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",0,1
31,"Nyers",31,"3D","Processed",4/2/2022 9:00:49,300,"9412.60",,,,31,,"No",0,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",0,1
32,"Nyers",32,"3D","Processed",4/1/2022 14:31:57,300,"D2154",,,,32,,"No",0,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",0,1
33,"Nyers",33,"3D","Processed",4/1/2022 20:29:39,300,"D4103",,,,33,,"No",0,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",0,1
34,"Nyers",34,"3D","Processed",4/1/2022 20:47:42,300,"D4109",,,,34,,"No",0,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",0,1
35,"Nyers",35,"3D","Processed",4/2/2022 9:23:11,300,"D41013",,,,35,,"No",0,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",0,1
36,"Nyers",36,"3D","Processed",4/2/2022 9:50:03,300,"D41041",,,,36,,"No",0,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",0,1
37,"Nyers",37,"3D","Processed",4/1/2022 21:58:56,300,"D41048",,,,37,,"No",0,"Nyers Clovis-like from Tulare Lake Basin.   Alan Garfinkel Gold from California State University, Bakersfield",0,0
38,"Nyers",38,,"empty",,,"Unknown",,,,38,,,0,,0,0
39,"Nyers",39,,"empty",,,"Unknown",,,,39,,,0,,0,0
40,"Nyers",40,"2.5D","Processed",6/19/2021 9:06:09,16,"1308-58",1,1.90000,,40,,,0,"Gill Gulch",0,1
41,"Nyers",41,"2.5D","Processed",6/19/2021 9:07:34,70,"Q-1-3",3,0.40000,,41,,,0,"Not Positive of accession number",0,1
42,"Nyers",42,"2.5D","Processed",6/19/2021 9:08:58,76,"76-48",3,0.40000,,42,,,0,"10IH396",0,1
43,"Nyers",43,"2.5D","Processed",6/19/2021 9:10:40,70,"C4-2-1",3,0.60000,,43,,,0,"Not Positive of accession number - NEEDS 2D SCAN",0,1
44,"Nyers",44,"2.5D","Processed",6/19/2021 9:12:04,76,"76-48",3,1.70000,,44,,,0,"10IH396",0,1
45,"Nyers",45,"2.5D","Processed",6/19/2021 9:13:26,69,"2-9-2",3,3.00000,,45,,,0,"10IH1276",0,1
46,"Nyers",46,"2.5D","Processed",6/19/2021 9:14:49,29,"01-06",2,4.10000,,46,,,0,"McCulley Creek",0,1
47,"Nyers",47,,"Duplicate",,,"Unknown",,,,,,,0,"PSAL #47 was 10IH396 76-48 was duplicate of PSAL #51",0,0
48,"Nyers",48,"2.5D","Processed",6/19/2021 9:16:12,32,"l4-268",1,0.90000,,48,,,0,"Nipeheme Village",0,1
49,"Nyers",49,,"empty",,,"Unknown",,,,49,,,0,,0,0
50,"Nyers",50,"2.5D","Processed",6/19/2021 9:17:34,32,"14-96",1,2.40000,,50,,,0,"Nipeheme Village",0,1
51,"Nyers",51,"2.5D","Processed",6/19/2021 9:18:56,76,"76-48",1,0.40000,,51,,,0,"10IH396",0,1
52,"Nyers",52,"2.5D","Processed",6/19/2021 9:20:16,32,"L-5-265",1,0.30000,,52,,,0,"Nipeheme Village",0,1
53,"Nyers",53,"2.5D","Processed",6/19/2021 9:21:39,32,"l5-267",1,0.60000,,53,,,0,"Nipeheme Village",0,1
54,"Nyers",54,"2.5D","Processed",6/19/2021 9:22:59,32,"l5-389",1,1.60000,,54,,,0,"Nipeheme Village",0,1
55,"Nyers",55,"2.5D","Processed",6/19/2021 9:24:22,32,"l3-377",1,1.30000,,55,,,0,"Nipeheme Village",0,1
56,"Nyers",56,,"empty",,,"Unknown",,,,56,,,0,,0,0
57,"Nyers",57,,"empty",,,"Unknown",,,,57,,,0,,0,0
58,"Nyers",58,,"empty",,,"Unknown",,,,58,,,0,,0,0
59,"Nyers",59,,"empty",,,"Unknown",,,,59,,,0,,0,0
60,"Nyers",60,,"empty",,,"Unknown",,,,60,,,0,,0,0
61,"Nyers",61,,"empty",,,"Unknown",,,,61,,,0,,0,0
62,"Nyers",62,,"empty",,,"Unknown",,,,62,,,0,,0,0
63,"Nyers",63,,"empty",,,"Unknown",,,,63,,,0,,0,0
64,"Nyers",64,,"empty",,,"Unknown",,,,64,,,0,,0,0
65,"Nyers",65,"2.5D","Processed",6/19/2021 9:25:44,32,"L6-79",1,2.60000,,65,,,0,"Extra data for additional PPTs in file? - NEEDS 2D SCAN",0,1
66,"Nyers",66,"2.5D","Processed",6/19/2021 9:27:06,32,"L2-366",1,0.70000,,66,,,0,"Nipeheme Village",0,1
67,"Nyers",67,"2.5D","Processed",6/19/2021 9:28:29,70,"E2-1-5 (?)",1,1.20000,,67,,,0,"10IH1286",0,1
68,"Nyers",68,"2.5D","Processed",6/19/2021 9:29:49,32,"l4-352",1,0.80000,,68,,,0,"Nipeheme Village",0,1
69,"Nyers",69,"2.5D","Processed",6/19/2021 9:31:12,32,"l4-256",1,0.90000,,69,,,0,"Nipeheme Village",0,1
70,"Nyers",70,"2.5D","Processed",6/19/2021 9:32:33,77,"76_48155",1,1.20000,,70,,,0,"10IH759",0,1
71,"Nyers",71,"2.5D","Processed",6/19/2021 9:33:56,32,"L4 264",1,1.60000,,71,,,0,"Nipeheme Village",0,1
72,"Nyers",72,"2.5D","Processed",6/19/2021 9:35:18,32,"L2 57",1,2.20000,,72,,,0,"Nipeheme Village",0,1
73,"Nyers",73,,"empty",,,"Unknown",,,,73,,,0,,0,0
74,"Nyers",74,,"empty",,,"Unknown",,,,74,,,0,,0,0
75,"Nyers",75,"2.5D","Processed",6/19/2021 9:36:42,72,"19 (?)",1,1.40000,,75,,,0,"10IH1732",0,1
76,"Nyers",76,"2.5D","Processed",6/19/2021 9:38:05,32,"l6_217",1,1.50000,,76,,,0,"Nipeheme Village",0,1
77,"Nyers",77,"2.5D","Processed",6/19/2021 9:39:27,79,"T-P-1 (?)",1,0.50000,,77,,,0,"10NP123/64",0,1
78,"Nyers",78,,"Duplicate",,70,"95-8",,0.30000,,78,,,0,"10IH1286",0,0
79,"Nyers",79,"2.5D","Processed",6/19/2021 9:40:47,70,"95-8",1,0.30000,,79,,,0,"10IH1286",0,1
80,"Nyers",80,"2.5D","Processed",6/19/2021 9:42:09,70,"92-",1,1.30000,,80,,,0,"10IH1286",0,1
81,"Nyers",81,"2.5D","Processed",6/19/2021 9:43:29,80,"87_2",1,0.70000,,81,,,0,"10NP124",0,1
82,"Nyers",82,"2.5D","Processed",6/19/2021 9:44:49,79,"65?",1,0.50000,,82,,,0,"10NP123/65",0,1
83,"Nyers",83,"2.5D","Processed",6/19/2021 9:46:09,76,"76_48",1,0.50000,,83,,,0,"10IH396",0,1
84,"Nyers",84,,"empty",,,"Unknown",,,,84,,,0,,0,0
85,"Nyers",85,"2.5D","Processed",6/19/2021 9:47:31,67,"09-10",1,1.10000,,85,,,0,"10AM413",0,1
86,"Nyers",86,,"empty",,,"Unknown",,,,86,,,0,,0,0
87,"Nyers",87,"2.5D","Processed",6/19/2021 9:48:50,32,"l2_373",1,1.60000,,87,,,0,"Nipeheme Village",0,1
88,"Nyers",88,"2.5D","Processed",6/19/2021 9:50:12,32,"l2_376",1,1.80000,,88,,,0,"Nipeheme Village",0,1
89,"Nyers",89,,"empty",,,"Unknown",,,,89,,,0,,0,0
90,"Nyers",90,"2.5D","Processed",6/19/2021 9:51:33,32,"l2_367",1,1.10000,,90,,,0,"Nipeheme Village",0,1
91,"Nyers",91,"2.5D","Processed",6/19/2021 9:52:53,70,"95-8",1,0.50000,,91,,,0,"10IH1286",0,1
92,"Nyers",92,,"empty",,,"Unknown",,,,92,,,0,,0,0
93,"Nyers",93,"2.5D","Processed",6/19/2021 9:54:13,32,"L3 217",1,4.90000,,93,,,0,"Nipeheme Village",0,1
94,"Nyers",94,,"empty",,,"Unknown",,,,94,,,0,,0,0
95,"Nyers",95,"2.5D","Processed",6/19/2021 9:55:36,24,"01-10",1,2.20000,,95,,,0,"10IH369",0,1
96,"Nyers",96,"2.5D","Processed",6/19/2021 9:56:56,32,"01-03",1,2.40000,,96,,,0,"Nipeheme Village",0,1
97,"Nyers",97,"2.5D","Processed",6/19/2021 9:58:19,70,"3x_2_18",1,1.70000,,97,,,0,"10IH1286",0,1
98,"Nyers",98,"2.5D","Processed",6/19/2021 9:59:38,70,"5x_2_2",1,0.50000,,98,,,0,"10IH1286",0,1
99,"Nyers",99,"2.5D","Processed",6/19/2021 10:01:02,32,"l12_8",1,1.60000,,99,,,0,"Nipeheme Village",0,1
100,"Nyers",100,"2.5D","Processed",6/19/2021 10:02:24,76,"76_48",1,0.70000,,100,,,0,"10IH396",0,1
101,"Nyers",101,,"empty",,,"Unknown",,,,101,,,0,,0,0
102,"Nyers",102,"2.5D","Processed",6/19/2021 10:03:45,70,"95_8",1,0.90000,,102,,,0,"10IH1286",0,1
103,"Nyers",103,,"empty",,,"Unknown",,,,103,,,0,,0,0
104,"Nyers",104,"2.5D","Processed",6/19/2021 10:05:08,32,"L22",1,7.30000,,104,,,0,"Nipeheme Village",0,1
105,"Nyers",105,,"empty",,,"Unknown",,,,105,,,0,,0,0
106,"Nyers",106,,"empty",,,"Unknown",,,,106,,,0,,0,0
107,"Nyers",107,"2.5D","Processed",6/19/2021 10:06:28,67,"09-10",1,0.70000,,107,,,0,"10AM413",0,1
108,"Nyers",108,,"empty",,,"Unknown",,,,108,,,0,,0,0
109,"Nyers",109,"2.5D","Processed",6/19/2021 10:07:50,32,"L3 254",1,1.20000,,109,,,0,"Nipeheme Village",0,1
110,"Nyers",110,"2.5D","Processed",6/19/2021 10:09:11,70,"92-",1,0.70000,,110,,,0,"10IH1286",0,1
111,"Nyers",111,"2.5D","Processed",6/19/2021 10:10:31,79,"90",1,0.70000,,111,,,0,"10NP123/90",0,1
112,"Nyers",112,"2.5D","Processed",6/19/2021 10:11:49,70,"95-8",1,0.50000,,112,,,0,"10IH1286",0,1
113,"Nyers",113,"2.5D","Processed",6/19/2021 10:13:09,79,"86?",1,0.60000,,113,,,0,"10NP123 (86)   NEEDS 2D SCAN",0,1
114,"Nyers",114,,"empty",,,"Unknown",,,,114,,,0,,0,0
115,"Nyers",115,"2.5D","Processed",6/19/2021 10:14:29,75,"76_20",1,2.30000,,115,,,0,"10IH388/8",0,1
116,"Nyers",116,"2.5D","Processed",6/19/2021 10:15:55,29,"01_06",1,0.80000,,116,,,0,"McCulley Creek",0,1
117,"Nyers",117,"2.5D","Processed",6/19/2021 10:17:19,16,"01_07",1,3.10000,,117,,,0,"Gill Gulch",0,1
118,"Nyers",118,"2.5D","Processed",6/19/2021 10:18:42,70,"92-",1,2.80000,,118,,,0,"10IH1286",0,1
119,"Nyers",119,"2.5D","Processed",6/19/2021 10:20:03,70,"95_8",1,0.80000,,119,,,0,"10IH1286",0,1
120,"Nyers",120,"2.5D","Processed",6/19/2021 10:21:26,70,"87-4",1,4.00000,,120,,,0,"10IH1286",0,1
121,"Nyers",121,"2.5D","Processed",6/19/2021 10:22:47,81,"09_03",1,0.80000,,121,,,0,"10NP128",0,1
122,"Nyers",122,,"empty",,,"Unknown",,,,122,,,0,,0,0
123,"Nyers",123,"2.5D","Processed",6/19/2021 10:24:04,76,"76-48",1,0.80000,,123,,,0,"10IH396",0,1
124,"Nyers",124,"2.5D","Processed",6/19/2021 10:25:27,76,"76-48",1,3.00000,,124,,,0,"10IH396",0,1
125,"Nyers",125,"2.5D","Processed",6/19/2021 10:26:43,67,"09-10",1,0.60000,,125,,,0,"10AM413",0,1
126,"Nyers",126,"2.5D","Processed",6/19/2021 10:29:26,16,"01-07",1,1.80000,,126,,,0,"Gill Gulch",0,1
127,"Nyers",127,"2.5D","Processed",6/19/2021 10:30:47,70,"95-8",1,5.70000,,127,,,0,"10IH1286",0,1
128,"Nyers",128,,"empty",,,"Unknown",,,,128,,,0,,0,0
129,"Nyers",129,,"empty",,,"Unknown",,,,129,,,0,,0,0
130,"Nyers",130,,"empty",,,"Unknown",,,,130,,,0,,0,0
131,"Nyers",131,,"empty",,,"Unknown",,,,131,,,0,,0,0
132,"Nyers",132,,"empty",,,"Unknown",,,,132,,,0,,0,0
133,"Nyers",133,"2.5D","Processed",6/19/2021 10:32:10,32,"l4 362",1,3.00000,,133,,,0,"Nipeheme Village",0,1
134,"Nyers",134,,"empty",,,"Unknown",,,,134,,,0,,0,0
135,"Nyers",135,,"empty",,,"Unknown",,,,135,,,0,,0,0
136,"Nyers",136,"2.5D","Processed",6/19/2021 10:33:31,24,"96-1",1,0.50000,,136,,,0,"10IH369",0,1
137,"Nyers",137,,"empty",,,"Unknown",,,,137,,,0,,0,0
138,"Nyers",138,"2.5D","Processed",6/19/2021 10:34:51,76,"76-48",1,1.80000,,138,,,0,"10IH396",0,1
139,"Nyers",139,"2.5D","Processed",6/19/2021 10:36:12,67,"09-10",1,0.90000,,139,,,0,"10AM413",0,1
140,"Nyers",140,"2.5D","Processed",6/19/2021 10:37:38,74,"76-20",,2.30000,,140,,,0,"10IH307/2",0,1
141,"Nyers",141,,"empty",,,"Unknown",,,,141,,,0,,0,0
142,"Nyers",142,"2.5D","Processed",6/19/2021 10:38:58,32,"l5 263",1,2.60000,,142,,,0,"Nipeheme Village",0,1
143,"Nyers",143,"2.5D","Processed",6/19/2021 10:40:18,32,"l5 397",1,1.50000,,143,,,0,"Nipeheme Village",0,1
144,"Nyers",144,"2.5D","Processed",6/19/2021 10:41:40,70,"95-8",1,1.30000,,144,,,0,"10IH1286",0,1
145,"Nyers",145,"2.5D","Processed",6/19/2021 10:43:04,32,"l4 476",1,2.70000,,145,,,0,"Nipeheme Village",0,1
146,"Nyers",146,"2.5D","Processed",6/19/2021 10:44:25,76,"76-48",1,1.00000,,146,,,0,"10IH396",0,1
147,"Nyers",147,"2.5D","Processed",6/19/2021 10:45:45,24,"96-1",1,0.90000,,147,,,0,"10IH369",0,1
148,"Nyers",148,"2.5D","Processed",6/19/2021 10:47:09,67,"09-10",1,1.10000,,148,,,0,"10AM413",0,1
149,"Nyers",149,,"empty",,,"Unknown",,,,149,,,0,,0,0
150,"Nyers",150,"2.5D","Processed",6/19/2021 10:48:29,75,"76-20",1,1.20000,,150,,,0,"10IH388/2",0,1
151,"Nyers",151,,"empty",,,"Unknown",,,,151,,,0,,0,0
152,"Nyers",152,,"empty",,,"Unknown",,,,152,,,0,,0,0
153,"Nyers",153,,"empty",,,"Unknown",,,,153,,,0,,0,0
154,"Nyers",154,,"empty",,,"Unknown",,,,154,,,0,,0,0
155,"Nyers",155,,"empty",,,"Unknown",,,,155,,,0,,0,0
156,"Nyers",156,"2.5D","Processed",6/19/2021 10:49:48,32,"l9 361",1,1.80000,,156,,,0,"Nipeheme Village",0,1
157,"Nyers",157,"2.5D","Processed",6/19/2021 10:51:11,32,"01-03",1,3.70000,,157,,,0,"Nipeheme Village",0,1
158,"Nyers",158,"2.5D","Processed",6/19/2021 10:52:32,76,"76-48",1,0.40000,,158,,,0,"10IH396",0,1
159,"Nyers",159,,"empty",,,"Unknown",,,,159,,,0,,0,0
160,"Nyers",160,,"empty",,,"Unknown",,,,160,,,0,,0,0
161,"Nyers",161,,"empty",,,"Unknown",,,,161,,,0,,0,0
162,"Nyers",162,"2.5D","Processed",6/19/2021 10:53:55,70,"87-4",1,2.50000,,162,,,0,"10IH1286",0,1
163,"Nyers",163,"2.5D","Processed",6/19/2021 10:55:20,32,"l7 505",1,3.40000,,163,,,0,"Nipeheme Village",0,1
164,"Nyers",164,"2.5D","Processed",6/19/2021 10:56:41,29,"90-3",1,1.70000,,164,,,0,"McCulley Creek",0,1
165,"Nyers",165,,"empty",,,"Unknown",,,,165,,,0,,0,0
166,"Nyers",166,"2.5D","Processed",6/19/2021 10:58:03,32,"l6 80",1,3.40000,,166,,,0,"Nipeheme Village",0,1
167,"Nyers",167,,"empty",,,"Unknown",,,,167,,,0,,0,0
168,"Nyers",168,"2.5D","Processed",6/19/2021 10:59:20,67,"09_10",1,0.60000,,168,,,0,"10AM413",0,1
169,"Nyers",169,"2.5D","Processed",6/19/2021 11:00:43,70,"95-8",1,1.50000,,169,,,0,"10IH1286",0,1
170,"Nyers",170,,"empty",,,"Unknown",,,,170,,,0,,0,0
171,"Nyers",171,,"empty",,,"Unknown",,,,171,,,0,,0,0
172,"Nyers",172,,"empty",,,"Unknown",,,,172,,,0,,0,0
173,"Nyers",173,,"empty",,,"Unknown",,,,173,,,0,,0,0
174,"Nyers",174,,"empty",,,"Unknown",,,,174,,,0,,0,0
175,"Nyers",175,,"empty",,,"Unknown",,,,175,,,0,,0,0
176,"Nyers",176,,"empty",,,"Unknown",,,,176,,,0,,0,0
177,"Nyers",177,,"empty",,,"Unknown",,,,177,,,0,,0,0
178,"Nyers",178,,"empty",,,"Unknown",,,,178,,,0,,0,0
179,"Nyers",179,"2.5D","Processed",6/19/2021 11:02:04,32,"01-03",2,6.60000,,179,,,0,"Nipeheme Village",0,1
180,"Nyers",180,"2.5D","Processed",6/19/2021 11:03:25,70,"95-8",1,0.90000,,180,,,0,"10IH1286",0,1
181,"Nyers",181,"2.5D","Processed",6/19/2021 11:04:43,70,"95-8",1,1.40000,,181,,,0,"10IH1286",0,1
182,"Nyers",182,"2.5D","Processed",6/19/2021 11:06:06,32,"(t1)L23",1,2.70000,,182,,,0,"Nipeheme Village",0,1
183,"Nyers",183,"2.5D","Processed",6/19/2021 11:07:30,32,"(T3)l4 259",2,1.90000,,183,,,0,"Nipeheme Village",0,1
184,"Nyers",184,"2.5D","Processed",6/19/2021 11:08:51,69,"7.3.11",2,1.80000,,184,,,0,"10IH1276",0,1
185,"Nyers",185,"2.5D","Processed",6/19/2021 11:10:12,32,"(T2)l2 58",2,3.60000,,185,,,0,"Nipeheme Village",0,1
186,"Nyers",186,"2.5D","Processed",6/19/2021 11:11:33,81,"09-03",1,2.20000,,186,,,0,"10NP128",0,1
187,"Nyers",187,"2.5D","Processed",6/19/2021 11:12:54,29,"01-06",2,1.40000,,187,,,0,"McCulley Creek",0,1
188,"Nyers",188,"2.5D","Processed",6/19/2021 11:14:15,32,"(T3) L4 257",1,8.50000,,188,,,0,"Nipeheme Village",0,1
189,"Nyers",189,"2.5D","Processed",6/19/2021 11:15:50,32,"(t4) l5 488",,1.30000,,189,,,0,"Nipeheme Village",0,1
190,"Nyers",190,"2.5D","Processed",6/19/2021 11:17:11,32,"(t4 )l7 503",1,2.50000,,190,,,0,"Nipeheme Village",0,1
191,"Nyers",191,"2.5D","Processed",6/19/2021 14:40:46,16,"01-07",1,5.10000,,191,,,0,"Gill Gulch",0,1
192,"Nyers",192,"2.5D","Processed",6/19/2021 15:37:44,76,"76_48",,2.50000,,192,,,0,"10IH396",0,1
193,"Nyers",193,"2.5D","Processed",6/19/2021 15:41:53,32,"(t3)l5 266",1,0.30000,,193,,,0,"Nipeheme Village",0,1
194,"Nyers",194,"3D","Free to use",,,,,,,,,,0,,0,1
195,"Nyers",195,"2.5D","Processed",6/19/2021 15:46:54,32,"(t3)l5 559",,5.50000,,195,,,0,"Nipeheme Village",0,1
196,"Nyers",196,"2.5D","Processed",6/19/2021 15:48:19,78,"01_10",,3.40000,,196,,,0,"10NP0298",0,1
197,"Nyers",197,"2.5D","Processed",6/19/2021 15:49:48,23,"01_08",,7.50000,,197,,,0,"American Bar",0,1
198,"Nyers",198,"2.5D","Processed",6/19/2021 15:51:27,32,"(t3)l12 116",,3.30000,,198,,,0,"Nipeheme Village",0,1
199,"Nyers",199,"2.5D","Processed",6/19/2021 15:52:46,76,"76-48",,2.70000,,199,,,0,"10IH396",0,1
200,"Nyers",200,"2.5D","Processed",6/19/2021 15:54:06,32,"(t3)l11 123",,3.30000,,200,,,0,"Nipeheme Village",0,1
201,"Nyers",201,"2.5D","Processed",6/19/2021 15:55:41,32,"L51 (T1)?",,4.20000,,201,,,0,"Nipeheme Village",0,1
202,"Nyers",202,"2.5D","Processed",6/19/2021 15:57:13,32,"(t3) l102",,4.90000,,202,,,0,"Nipeheme Village",0,1
203,"Nyers",203,"2.5D","Processed",6/19/2021 15:58:33,29,"01_06",,4.70000,,203,,,0,"McCulley Creek",0,1
204,"Nyers",204,"2.5D","Processed",6/19/2021 16:00:05,32,"(T3) L6 211",,6.80000,,204,,,0,"Nipeheme Village",0,1
205,"Nyers",205,"2.5D","Processed",6/19/2021 16:01:26,32,"(t3)l4 263",,4.10000,,205,,,0,"Nipeheme Village",0,1
206,"Nyers",206,"2.5D","Processed",6/19/2021 16:02:45,32,"(t4)l7 496",,3.30000,,206,,,0,"Nipeheme Village",0,1
207,"Nyers",207,"2.5D","Processed",6/19/2021 16:04:17,32,"(T4) L7 495",,1.20000,,207,,,0,"Nipeheme Village",0,1
208,"Nyers",208,"2.5D","Processed",6/19/2021 16:05:38,32,"(t2)l6 73",,1.90000,,208,,,0,"Nipeheme Village",0,1
209,"Nyers",209,"2.5D","Processed",6/19/2021 16:06:59,32,"(t1)l53",,2.70000,,209,,,0,"Nipeheme Village",0,1
210,"Nyers",210,"2.5D","Processed",6/19/2021 16:08:18,32,"(t1)l72",,2.10000,,210,,,0,"Nipeheme Village",0,1
211,"Nyers",211,"2.5D","Processed",6/19/2021 16:09:37,32,"(t1)l73",,4.30000,,211,,,0,"Nipeheme Village",0,1
212,"Nyers",212,"2.5D","Processed",6/19/2021 16:10:55,32,"(t2)l4 75",,4.10000,,212,,,0,"Nipeheme Village",0,1
