"FIPS","STATE_FIPS","CNTY_FIPS","ST","State","County","Lat","Long"
1001,1,1,"AL","Alabama","Autauga",,
1003,1,3,"AL","Alabama","Baldwin",,
1005,1,5,"AL","Alabama","Barbour",,
1007,1,7,"AL","Alabama","Bibb",,
1009,1,9,"AL","Alabama","Blount",,
1011,1,11,"AL","Alabama","Bullock",,
1013,1,13,"AL","Alabama","Butler",,
1015,1,15,"AL","Alabama","Calhoun",,
1017,1,17,"AL","Alabama","Chambers",,
1019,1,19,"AL","Alabama","Cherokee",,
1021,1,21,"AL","Alabama","Chilton",,
1023,1,23,"AL","Alabama","Choctaw",,
1025,1,25,"AL","Alabama","Clarke",,
1027,1,27,"AL","Alabama","Clay",,
1029,1,29,"AL","Alabama","Cleburne",,
1031,1,31,"AL","Alabama","Coffee",,
1033,1,33,"AL","Alabama","Colbert",,
1035,1,35,"AL","Alabama","Conecuh",,
1037,1,37,"AL","Alabama","Coosa",,
1039,1,39,"AL","Alabama","Covington",,
1041,1,41,"AL","Alabama","Crenshaw",,
1043,1,43,"AL","Alabama","Cullman",,
1045,1,45,"AL","Alabama","Dale",,
1047,1,47,"AL","Alabama","Dallas",,
1049,1,49,"AL","Alabama","DeKalb",,
1051,1,51,"AL","Alabama","Elmore",,
1053,1,53,"AL","Alabama","Escambia",,
1055,1,55,"AL","Alabama","Etowah",,
1057,1,57,"AL","Alabama","Fayette",,
1059,1,59,"AL","Alabama","Franklin",,
1061,1,61,"AL","Alabama","Geneva",,
1063,1,63,"AL","Alabama","Greene",,
1065,1,65,"AL","Alabama","Hale",,
1067,1,67,"AL","Alabama","Henry",,
1069,1,69,"AL","Alabama","Houston",,
1071,1,71,"AL","Alabama","Jackson",,
1073,1,73,"AL","Alabama","Jefferson",,
1075,1,75,"AL","Alabama","Lamar",,
1077,1,77,"AL","Alabama","Lauderdale",,
1079,1,79,"AL","Alabama","Lawrence",,
1081,1,81,"AL","Alabama","Lee",,
1083,1,83,"AL","Alabama","Limestone",,
1085,1,85,"AL","Alabama","Lowndes",,
1087,1,87,"AL","Alabama","Macon",,
1089,1,89,"AL","Alabama","Madison",,
1091,1,91,"AL","Alabama","Marengo",,
1093,1,93,"AL","Alabama","Marion",,
1095,1,95,"AL","Alabama","Marshall",,
1097,1,97,"AL","Alabama","Mobile",,
1099,1,99,"AL","Alabama","Monroe",,
1101,1,101,"AL","Alabama","Montgomery",,
1103,1,103,"AL","Alabama","Morgan",,
1105,1,105,"AL","Alabama","Perry",,
1107,1,107,"AL","Alabama","Pickens",,
1109,1,109,"AL","Alabama","Pike",,
1111,1,111,"AL","Alabama","Randolph",,
1113,1,113,"AL","Alabama","Russell",,
1115,1,115,"AL","Alabama","St. Clair",,
1117,1,117,"AL","Alabama","Shelby",,
1119,1,119,"AL","Alabama","Sumter",,
1121,1,121,"AL","Alabama","Talladega",,
1123,1,123,"AL","Alabama","Tallapoosa",,
1125,1,125,"AL","Alabama","Tuscaloosa",,
1127,1,127,"AL","Alabama","Walker",,
1129,1,129,"AL","Alabama","Washington",,
1131,1,131,"AL","Alabama","Wilcox",,
1133,1,133,"AL","Alabama","Winston",,
2013,2,13,"AK","Alaska","Aleutians East",,
2016,2,16,"AK","Alaska","Aleutians West",,
2020,2,20,"AK","Alaska","Anchorage",,
2050,2,50,"AK","Alaska","Bethel",,
2060,2,60,"AK","Alaska","Bristol Bay",,
2068,2,68,"AK","Alaska","Denali",,
2070,2,70,"AK","Alaska","Dillingham",,
2090,2,90,"AK","Alaska","Fairbanks North Star",,
2100,2,100,"AK","Alaska","Haines",,
2105,2,105,"AK","Alaska","Hoonah-Angoon",,
2110,2,110,"AK","Alaska","Juneau",,
2122,2,122,"AK","Alaska","Kenai Peninsula",,
2130,2,130,"AK","Alaska","Ketchikan Gateway",,
2150,2,150,"AK","Alaska","Kodiak Island",,
2164,2,164,"AK","Alaska","Lake and Peninsula",,
2170,2,170,"AK","Alaska","Matanuska-Susitna",,
2180,2,180,"AK","Alaska","Nome",,
2185,2,185,"AK","Alaska","North Slope",,
2188,2,188,"AK","Alaska","Northwest Arctic",,
2195,2,195,"AK","Alaska","Petersburg",,
2198,2,198,"AK","Alaska","Prince of Wales-Hyder",,
2220,2,220,"AK","Alaska","Sitka",,
2230,2,230,"AK","Alaska","Skagway",,
2240,2,240,"AK","Alaska","Southeast Fairbanks",,
2261,2,261,"AK","Alaska","Valdez-Cordova",,
2270,2,270,"AK","Alaska","Wade Hampton",,
2275,2,275,"AK","Alaska","Wrangell",,
2282,2,282,"AK","Alaska","Yakutat",,
2290,2,290,"AK","Alaska","Yukon-Koyukuk",,
4001,4,1,"AZ","Arizona","Apache",,
4003,4,3,"AZ","Arizona","Cochise",,
4005,4,5,"AZ","Arizona","Coconino",,
4007,4,7,"AZ","Arizona","Gila",,
4009,4,9,"AZ","Arizona","Graham",,
4011,4,11,"AZ","Arizona","Greenlee",,
4012,4,12,"AZ","Arizona","La Paz",,
4013,4,13,"AZ","Arizona","Maricopa",,
4015,4,15,"AZ","Arizona","Mohave",,
4017,4,17,"AZ","Arizona","Navajo",,
4019,4,19,"AZ","Arizona","Pima",,
4021,4,21,"AZ","Arizona","Pinal",,
