"Publisher_ID","Publisher","ISSN","City","State","Country"
1,"Elsevier","0305-4403","New York","NY","USA"
2,"Washinton State University",,"Pullman","WA","USA"
3,"University of Michigan",,"Ann Arbor","MI","USA"
4,"University of Tulsa","0197-7261","Tulsa","OK","USA"
5,"University of New Mexico Press","0093-4690","Albuquerque","NM","USA"
6,"Idaho Museum of Natural History",,"Pocatello","ID","USA"
7,"Simon Frasier University",,"Burnaby","BC","Canada"
8,"Texas A&M University Press",,"College Station","TX","USA"
9,"Nevada State Museum",,"Carson City","NV","USA"
10,"University Press of Colorado",,"Boulder","CO","USA"
11,"University of Utah Press",,"Salt Lake City","UT","USA"
