"Site_ID","Site_name","Smithsonian","Country","State","County","FIPS","Lat","Lon","Comment","Narrative","Typical","Color","Marker","Size"
1,"Unknown","Unknown",,,,,47.00000,-127.00000,"Unknown    ( Use 'Not from site' for experimental or lab-made)",,,"lightgrey","o",20.00000
2,"Ahsahka Sportsmen's Access Site","10CW5","USA","ID","Clearwater",,46.66537,-115.65712,"Mouth of North Fork Clearwater River at Ahsahka, ID (east of Lewiston)",,,"lightgrey","o",20.00000
3,"Alvord Desert","35HA_Alvord","USA","OR","Harney",41025,43.05989,-118.96301,,,,"lightgrey","o",20.00000
4,"Applegate Lakes","35JA53","USA","OR","Jackson",,42.42890,-122.72285,"Applegate River in Klamath Mtns, 35 miles SW of Medford",,293,"lightgrey","o",20.00000
5,"Borax Lake","35HA_Borax","USA","OR","Harney",41025,43.05989,-118.96301,"South of Steens Mtn, near Alvord Lake (assume different than CA-LAK-36) )",,,"lightgrey","o",20.00000
6,"Bug Slope","10IH1220","USA","ID","Idaho",,45.83513,-115.46639,,,,"lightgrey","o",20.00000
7,"Catlow Valley","35HA_Catlow","USA","OR","Harney",41025,43.05989,-118.96301,"85 miles south of Burns",,,"lightgrey","o",20.00000
8,"Challis Bison Jump","10CR126","USA","ID","Custer",,44.49000,-114.23000,"East of Salmon River Mountains near Challis, ID",,,"lightgrey","o",20.00000
9,"Claypool Site","5WL18","USA","CO","Washington",,39.96472,-103.19820,"Washington County, CO   (Eden point)",,332,"lightgrey","o",20.00000
10,"Clearwater Fish Hatchery","10CW4","USA","ID","Clearwater",,46.66537,-115.65712,"mouth of North Fork at Ahsahka, ID",,,"lightgrey","o",20.00000
11,"Cooper's Ferry","10IH73","USA","ID","Idaho",,45.83513,-115.46639,"Lower Salmon River",,274,"limegreen","o",20.00000
12,"Curlew Valley Site","10ONCurlew","USA","ID","Oneida",,42.19463,-112.53021,"SE Idaho near Malad City",,447,"lightgrey","o",20.00000
13,"Danger Cave","42TO13","USA","UT","Tooele",,40.45026,-113.12504,"Near Wendover, UT",,,"lightgrey","o",20.00000
14,"Dietz Site","35LK1529","USA","OR","Lake",,43.13500,-119.96400,"Clovis site 27 mi SE of Wagontire, OR",,1487,"sandybrown","o",20.00000
15,"Double Horse","10IH80","USA","ID","Idaho",,45.83513,-115.46639,"Card C14  (may be Double-HOUSE)",,,"lightgrey","o",20.00000
16,"Gill Gulch","10IH1308","USA","ID","Idaho",,45.83513,-115.46639,"Card C14",,,"lightgrey","o",20.00000
17,"Granite Point","45WT41","USA","WA","Whitman",,46.89780,-117.52301,"Rice 1972:  The Granite Point archaeological site is located on the east bank of the Snake River in the Lower Granite District (Fig. 2). The site takes its name from an exposure of granodiorite which intrudes into an otherwise basaltic surrounding in the ","Rice 1972:  The Granite Point archaeological site is located on the east bank of the Snake River in the Lower Granite District (Fig. 2). The site takes its name from an exposure of granodiorite which intrudes into an otherwise basaltic surrounding in the site locality. The site contains a number of archaeological deposits scattered for a distance of 1,800 feet along the river bank . Three areas of the site, A, B, and C, were excavated by Washington State University summer field crews directed in 1967 by Roderick Sprague and in 1968 by Frank Leonhardy. A Windust Phase component was discovered during the excavation of Area C. Work conducted at the site and finds made there are reported by Leonhardy (1970).",,"lightgrey","o",20.00000
18,"Haskett Site","10PR37","USA","ID","Power",,42.68935,-112.83228,"SW of American Falls Reservoir",,476,"lightgrey","o",20.00000
19,"Hatwai","10NP143","USA","ID","Nez Perce",,46.31557,-116.75267,"Lower Clearwater River   Card C14",,1506,"red","o",20.00000
20,"Helen Point","DfRu8","Canada","BC","Straight of Georgia",,48.91666,-123.41666,"Carlson 2008: This site fronting Active Pass on Mayne Island was first tested in 1966 by Jon Hall (1968) of the University of Victoria (UVic), then again in 1968 by John Sendey for the British Columbia Provincial Museum (BCPM) (McMurdo 1974), and also in ","Carlson 2008: This site fronting Active Pass on Mayne Island was first tested in 1966 by Jon Hall (1968) of the University of Victoria (UVic), then again in 1968 by John Sendey for the British Columbia Provincial Museum (BCPM) (McMurdo 1974), and also in 1968 by the Simon Fraser University (SFU) Archaeological Field School directed by Roy Carlson (1970). The points from the latter excavation were used in a chronological chart of point types of the Lower Fraser and Gulf Islands (Carlson 1983, Fig. 1:7). At 5420 ± 230 BP this site has the earliest beginning date of all the sites in the study area and the largest number of points. The Mayne phase deposits, that contain most of the points and thousands of pieces of cores and other debitage, are associated with the burial area of the site at this period, and it is probable that the makers of these points were buried there. It is also probable that these individuals were specialists in the manufacture of flaked stone artifacts and that this site served as a distribution point from which these
artifacts were traded to the surrounding region. The site has components of all four cultural phases found this locality-Mayne, Locarno Beach, Marpole, and San Juan - although the Locarno Beach phase barely represented in the 1968 SFU excavations that produced the vast majority of the chipped stone points from the site (Carlson 1970).The stratification (Figure 18) at the SFU excavated part of the site is complex and consists of a lowermost black matrix lacking shell dating between 5420 and 3690 BP containing Mayne phase cultural material including five burials, succeeded by a Marpole phase deposit with varying amounts of shell, followed by a shallow San Juan phase deposit with abundant shell. One hundred and ninety-six projectile points came from this excavation. Whereas the lower half of the deposit, 90 to 150 cm below the surface, was relatively intact, the upper portion contained mixed assemblages of both older and younger materials caused by the excavation of pits and depressions in the older deposits by the aboriginal inhabitants. The battleship diagram (Figure 19) showing the relative frequency of point types by depth without reference to stratification illustrates this mixing; the early types (Ia, Ib, II, III) continued to be found in upper levels although in diminished frequencies relative to the more recent types (Ic, IV, VI).",,"lightgrey","o",20.00000
21,"Hell Gap","48GO305","USA","WY","Goshen",,42.37500,-104.65000,"8 miles north of Guernsey, WY",,509,"lightgrey","o",20.00000
22,"Hogup Cave","42BO36","USA","UT","Box Elder",,41.52225,-113.08026,"Pitblado 2003","Pitblado 2003",538,"lightgrey","o",20.00000
23,"Island Bar","10IH395","USA","ID","Idaho",,45.83513,-115.46639,"also called American Bar (?)",,,"lightgrey","o",20.00000
24,"Island Bar Midden","10IH369","USA","ID","Idaho",,45.83513,-115.46639,"Card C14",,,"lightgrey","o",20.00000
25,"Kooskia Bridge","10IH1395","USA","ID","Idaho",,45.83513,-115.46639,"Middle Fork at Kooskia",,,"lightgrey","o",20.00000
26,"Lind Coulee","45GR97","USA","WA","Grant",,47.20431,-119.45172,"Rice 1972:  The Lind Coulee site is located along an old scabland channel in the Central Plains section of the Columbia Basin. The site was excavated by the joint cooperation of the Smithsonian Institution River Basin Surveys, the National Park Service, t","Rice 1972:  The Lind Coulee site is located along an old scabland channel in the Central Plains section of the Columbia Basin. The site was excavated by the joint cooperation of the Smithsonian Institution River Basin Surveys, the National Park Service, the University of Washington, and the State College of  Washington. The site was excavated and reported by Daugherty (1956).",1531,"mediumpurple","o",20.00000
27,"Lower Snake River Group","45Windust","USA","WA","Multiple",,46.89780,-117.52301,"From Rice 1972: 45FR46, 45FR50, 45CO1, 45WT35, 45WT36, 45WT41, 45GR97",,372,"lightgrey","o",20.00000
